DATE,CPMEURNSAB1GQSK
1995-01-01,3560.6
1995-04-01,4141.4
1995-07-01,3883.0
1995-10-01,3724.2
1996-01-01,4008.7
1996-04-01,4288.5
1996-07-01,4454.8
1996-10-01,4302.8
1997-01-01,4467.6
1997-04-01,4871.7
1997-07-01,5128.5
1997-10-01,4867.6
1998-01-01,4880.4
1998-04-01,5325.4
1998-07-01,5293.0
1998-10-01,4872.7
1999-01-01,4661.5
1999-04-01,4902.0
1999-07-01,4963.3
1999-10-01,4990.1
2000-01-01,5114.3
2000-04-01,5731.8
2000-07-01,5770.3
2000-10-01,5763.1
2001-01-01,5364.1
2001-04-01,6113.4
2001-07-01,6159.4
2001-10-01,6280.4
2002-01-01,6012.6
2002-04-01,6489.4
2002-07-01,6686.1
2002-10-01,7165.2
2003-01-01,6728.5
2003-04-01,7507.0
2003-07-01,7732.1
2003-10-01,8162.9
2004-01-01,7876.5
2004-04-01,8413.8
2004-07-01,9019.5
2004-10-01,9466.3
2005-01-01,9001.9
2005-04-01,9628.2
2005-07-01,10217.0
2005-10-01,10557.0
2006-01-01,10026.6
2006-04-01,11127.2
2006-07-01,11685.9
2006-10-01,12824.9
2007-01-01,12535.8
2007-04-01,13826.8
2007-07-01,14825.2
2007-10-01,15192.9
2008-01-01,14788.0
2008-04-01,16516.5
2008-07-01,17778.0
2008-10-01,17126.1
2009-01-01,14998.6
2009-04-01,15867.5
2009-07-01,16750.5
2009-10-01,16479.0
2010-01-01,15798.8
2010-04-01,16969.9
2010-07-01,18134.7
2010-10-01,17588.8
2011-01-01,16378.4
2011-04-01,17826.3
2011-07-01,18820.3
2011-10-01,18452.0
2012-01-01,16966.6
2012-04-01,18315.4
2012-07-01,19378.0
2012-10-01,18700.9
2013-01-01,17174.7
2013-04-01,18549.5
2013-07-01,19570.5
2013-10-01,18922.7
2014-01-01,17523.9
2014-04-01,18967.7
2014-07-01,20098.6
2014-10-01,19502.5
2015-01-01,18258.6
2015-04-01,19886.2
2015-07-01,21079.4
2015-10-01,20663.9
2016-01-01,18637.0
2016-04-01,20279.2
2016-07-01,21176.6
2016-10-01,20921.4
2017-01-01,19197.2
2017-04-01,21118.1
2017-07-01,22194.1
2017-10-01,21933.6
2018-01-01,20274.1
2018-04-01,22451.7
2018-07-01,23673.5
2018-10-01,23030.8
2019-01-01,21672.8
2019-04-01,23608.0
2019-07-01,24559.7
2019-10-01,24207.5
2020-01-01,21642.7
2020-04-01,21533.9
2020-07-01,24577.8
2020-10-01,24324.9
2021-01-01,21818.8
2021-04-01,24077.7
2021-07-01,25637.2
2021-10-01,25588.8
2022-01-01,23844.1
